iter	M_lnFgutabs(1)	M_lnkgutelim(1)	M_lnkufrac(1)	M_lnCltot(1)	M_lnClmet(1)	M_lnVdist(1)	M_lnVdistmet(1)	SD_lnFgutabs(1)	SD_lnkgutelim(1)	SD_lnkufrac(1)	SD_lnVdist(1)	SD_lnVdistmet(1)	GSD_Ccpt(1)	GSD_Cmet(1)	GSD_Qu(1)	GSD_Q_fec(1)	GSD_Qu_met(1)	lnFgutabs(1.1)	lnkgutelim(1.1)	lnkufrac(1.1)	lnVdist(1.1)	lnVdistmet(1.1)	lnFgutabs(1.2)	lnkgutelim(1.2)	lnkufrac(1.2)	lnVdist(1.2)	lnVdistmet(1.2)	lnFgutabs(1.3)	lnkgutelim(1.3)	lnkufrac(1.3)	lnVdist(1.3)	lnVdistmet(1.3)	lnFgutabs(1.4)	lnkgutelim(1.4)	lnkufrac(1.4)	lnVdist(1.4)	lnVdistmet(1.4)	lnFgutabs(1.5)	lnkgutelim(1.5)	lnkufrac(1.5)	lnVdist(1.5)	lnVdistmet(1.5)	lnFgutabs(1.6)	lnkgutelim(1.6)	lnkufrac(1.6)	lnVdist(1.6)	lnVdistmet(1.6)	lnFgutabs(1.7)	lnkgutelim(1.7)	lnkufrac(1.7)	lnVdist(1.7)	lnVdistmet(1.7)	lnFgutabs(1.8)	lnkgutelim(1.8)	lnkufrac(1.8)	lnVdist(1.8)	lnVdistmet(1.8)	lnFgutabs(1.9)	lnkgutelim(1.9)	lnkufrac(1.9)	lnVdist(1.9)	lnVdistmet(1.9)	lnFgutabs(1.10)	lnkgutelim(1.10)	lnkufrac(1.10)	lnVdist(1.10)	lnVdistmet(1.10)	LnPrior	LnData	LnPosterior
0	-0.669829	-0.795802	-1.40543	-1.48531	-5.42595	1.40149	-0.518683	0.0829847	0.37077	0.0882871	7.8969e-005	0.0394842	1.12681	1.14934	1.14652	1.286	1.27292	-0.504475	-0.528497	0.0703985	0.318129	-1.41983	1.47182	1.10522	-1.34124	0.500751	0.418962	0.283361	-0.326467	-0.292402	-3.51111	0.537127	-1.06257	0.795275	-0.296177	1.99388	-0.916201	0.284936	1.3971	1.02426	1.58349	1.38478	-1.88343	0.341579	-1.39712	1.7035	-1.02184	-1.94272	1.17917	-0.933463	-1.41247	-0.653795	0.122408	1.74735	-0.590807	0.761536	0.345088	0.437924	0.0175911	1.60179	0.191802	-1.13494	1.44326	0.499913	-0.639212	0.983788	0.439072	-8.109724e+001	-2.855364e+004	-2.863474e+004
10	-1.57088	1.44039	-0.885136	-2.86439	-1.07472	-0.0123767	-1.33323	0.271598	0.655989	0.248957	0.176044	0.251435	1.29279	1.22837	1.29563	1.19876	1.29373	-1.07286	1.5873	0.664544	-1.71855	-1.83144	0.858649	1.70277	-5.41964	0.164798	1.33489	0.0239406	-0.188384	1.65831	-2.19983	-0.279105	0.907874	-0.808501	-1.8485	0.131404	0.520376	-0.486256	5.09661	0.96778	-0.457495	0.0273284	-0.792312	2.51919	-2.25328	-2.48645	-1.93409	-0.251155	1.68687	-0.720144	-6.00842	-1.01078	-1.01579	2.31476	0.635518	-0.940798	-2.06305	-2.02887	1.24842	-1.97219	0.175325	-0.537688	-0.221055	0.364651	-3.64059	0.882034	-0.143189	-1.468408e+002	-1.562514e+003	-1.709355e+003
20	-2.27265	1.06627	-0.885136	-3.49692	-1.4295	-0.431925	-3.40749	0.0600757	0.516663	0.273814	0.20579	0.29045	1.29279	1.13785	1.29563	1.27841	1.29373	0.0535264	0.834584	0.780546	-2.42496	1.39714	0.489865	1.19714	-3.76537	-0.4152	-1.60183	-0.360897	0.357975	1.10783	-2.58641	0.181783	-2.48809	-2.13161	-2.21586	-0.0201022	1.23335	-0.857732	1.18601	0.81572	-1.31086	0.474459	-0.479328	2.41908	-3.25235	-2.92438	0.2486	-1.03147	1.35372	0.0294107	-8.00986	-1.70214	0.34231	0.784887	1.36079	-3.10951	1.18348	0.107592	-0.249229	-1.97219	-0.747539	-0.651225	1.32082	1.78074	-3.67761	0.00150812	-1.27921	-1.508315e+002	-1.058554e+003	-1.209386e+003
30	-1.4096	1.07891	-1.00395	-3.49692	-2.54716	-0.428878	-2.963	0.086779	0.66355	0.273814	0.272901	0.111745	1.29423	1.26526	1.29563	1.21602	1.29871	-0.342102	-0.453248	1.36278	-2.37161	0.415348	2.30024	0.695467	-3.5844	0.245891	0.384321	-0.450492	0.34764	0.644467	-2.8032	0.875357	-0.805414	-2.4042	-1.96238	-1.08208	-0.188893	-0.689229	-0.547935	1.29948	-1.18517	0.213294	-0.300965	0.891141	-3.03391	-2.52728	0.624412	-0.586819	0.678818	-0.13414	-7.89952	-0.97731	-1.15824	1.01582	1.88613	-2.11828	-0.0634933	-0.165445	1.62674	-0.984488	-0.474602	-0.0877373	-0.237042	2.00311	-4.48866	-0.14554	-2.47384	-1.431835e+002	-1.008035e+003	-1.151219e+003
40	-2.00516	1.36837	-1.02907	-3.50544	-2.31051	-0.480652	-2.52631	0.0206321	0.577595	0.304495	0.323014	0.0992076	1.29423	1.1322	1.29942	1.15503	1.29871	-0.522259	-0.453248	1.36278	-2.49662	0.415348	1.94702	0.695467	-3.15746	0.245891	0.267787	-0.222797	-1.1809	0.609202	-1.93259	-2.60156	1.31695	-3.90529	-1.48888	-1.08208	0.0486603	0.280321	 1.06	1.03245	-0.857548	0.213294	-0.993548	1.09931	-2.34932	-2.17337	0.0649325	-0.279378	0.476038	-0.13414	-6.91884	-1.44242	-1.07067	0.874565	1.49808	-1.83483	0.932582	0.0235877	1.16085	-0.788372	-0.348338	1.22465	-0.792947	0.98505	-3.80372	-0.122454	-1.6406	-1.293993e+002	-1.003957e+003	-1.133356e+003
50	-1.33229	1.36837	-1.02907	-3.56624	-1.75757	-0.480652	-2.81868	0.133248	0.653415	0.337818	0.326652	0.160806	1.29509	1.24809	1.29014	1.26546	1.29909	0.0975114	0.721837	1.36278	-2.03308	-2.17733	-0.517979	-0.0522471	-3.22097	0.245891	0.563557	-1.38882	-0.642415	0.562096	-2.33906	-0.610735	-0.102622	-3.4624	-1.42558	-1.08208	-1.33442	-0.812098	0.403157	1.33409	-0.857548	-0.349222	-0.41983	0.395917	-2.0035	-1.69249	1.27602	0.768543	0.678483	-0.13414	-6.64457	-0.227403	-1.37588	0.874565	1.68094	-1.41327	-1.02692	0.164078	0.782525	-0.865125	-0.158542	-0.596348	-0.788211	0.98505	-3.72655	-0.156725	-0.605373	-1.222192e+002	-9.937851e+002	-1.116004e+003
60	-0.182752	0.943906	-1.07833	-3.56624	-1.75757	-0.521033	-0.560632	0.073285	0.673785	0.348836	0.351863	0.141675	1.2935	1.11709	1.29282	1.1502	1.29909	-0.692318	0.577372	1.27861	-1.69951	0.667478	0.166897	1.33244	-2.61749	0.245891	-0.345057	-0.786928	0.418161	0.735041	-2.45305	-0.515255	1.29292	-3.32262	-1.41824	-1.20013	-0.295157	0.639779	0.544451	1.1917	-1.00521	2.78967	1.22885	1.7537	-1.92885	-1.66675	1.36887	0.806171	0.923279	-0.0851633	-6.09265	-1.94445	0.146028	2.32096	1.80181	-1.67407	0.817133	-0.185344	1.11304	-0.721128	-0.465506	-1.17084	-1.15256	1.03457	-3.10196	-0.106846	1.22525	-1.211677e+002	-9.915840e+002	-1.112752e+003
70	-0.00832201	0.952039	-1.01953	-3.68932	-1.46306	-0.542433	-2.62914	0.175086	0.646796	0.355032	0.376765	0.0456843	1.29946	1.21075	1.29864	1.22344	1.2977	0.679593	0.202608	1.27861	-1.02508	1.28832	0.959927	0.642416	-2.95546	-0.112684	0.878966	-1.48976	-0.826798	0.50402	-2.37336	-0.482795	-0.714289	-3.11472	-1.12988	-0.532548	-0.172988	-1.1733	0.488326	1.28441	-1.35977	-0.724635	1.57953	1.64154	-2.44729	-1.76759	1.36887	0.291996	0.716664	0.310598	-5.40503	-1.94445	-0.0319272	1.14359	1.24248	-1.92501	-0.0135083	0.0171625	1.25286	-0.665279	-0.465506	1.73673	0.238704	1.19704	-3.10196	-0.351004	0.448439	-1.149471e+002	-9.857083e+002	-1.100655e+003
80	-0.546286	0.953403	-1.01023	-3.69409	-1.46306	-0.574157	-2.57499	0.123451	0.685868	0.365117	0.421472	0.00459705	1.2986	1.28802	1.29942	1.22667	1.2977	-0.00738677	0.977514	1.27861	-1.10352	-0.385603	1.13107	1.23053	-2.89971	-0.112684	-0.114996	-0.244124	0.0239602	0.622938	-1.8769	1.09299	-0.0693965	-2.83937	-1.26118	-0.532548	-2.05165	0.160489	0.549451	1.0778	-0.757362	-1.47993	-0.354276	1.39762	-2.04025	-1.59238	0.056432	0.29933	0.0591424	-0.687171	-5.58068	-0.915465	-2.34997	1.24941	0.868068	-1.92501	-0.613051	-0.243975	1.12064	-0.432758	-0.114574	0.10993	-0.349973	0.952582	-3.10196	-0.372719	0.601504	-1.099902e+002	-9.812325e+002	-1.091223e+003
90	-1.49242	1.02604	-1.02343	-3.69409	-2.32601	-0.718827	-2.1366	0.0300515	0.691097	0.410272	0.447497	0.229181	1.29864	1.2889	1.29726	1.24527	1.29967	-0.00738677	0.0858034	1.07291	-0.919318	0.590075	-0.714521	1.92719	-1.82914	0.406796	1.05642	-0.395983	-0.857643	0.226968	-1.36649	0.156113	0.642628	-3.50001	-1.26118	-0.96001	0.84087	-0.773179	0.101049	0.915537	-0.162461	-0.240486	-1.35089	0.923094	-2.04025	-1.28921	0.195585	-1.3734	0.994442	-0.0591356	-4.81569	-0.945995	2.29623	1.82511	1.21103	-1.18103	0.611119	-0.0463392	1.72947	-0.906761	-0.114574	-0.401327	-1.66195	1.24546	-2.53914	0.880865	0.560141	-1.042120e+002	-9.877231e+002	-1.091935e+003
