"iter" "M_lnFgutabs.1." "M_lnkgutelim.1." "M_lnkufrac.1." "M_lnCltot.1." "M_lnClmet.1." "M_lnVdist.1." "M_lnVdistmet.1." "SD_lnFgutabs.1." "SD_lnkgutelim.1." "SD_lnkufrac.1." "SD_lnVdist.1." "SD_lnVdistmet.1." "GSD_Ccpt.1." "GSD_Cmet.1." "GSD_Qu.1." "GSD_Q_fec.1." "GSD_Qu_met.1." "lnFgutabs.1.1." "lnkgutelim.1.1." "lnkufrac.1.1." "lnVdist.1.1." "lnVdistmet.1.1." "lnFgutabs.1.2." "lnkgutelim.1.2." "lnkufrac.1.2." "lnVdist.1.2." "lnVdistmet.1.2." "lnFgutabs.1.3." "lnkgutelim.1.3." "lnkufrac.1.3." "lnVdist.1.3." "lnVdistmet.1.3." "lnFgutabs.1.4." "lnkgutelim.1.4." "lnkufrac.1.4." "lnVdist.1.4." "lnVdistmet.1.4." "lnFgutabs.1.5." "lnkgutelim.1.5." "lnkufrac.1.5." "lnVdist.1.5." "lnVdistmet.1.5." "lnFgutabs.1.6." "lnkgutelim.1.6." "lnkufrac.1.6." "lnVdist.1.6." "lnVdistmet.1.6." "lnFgutabs.1.7." "lnkgutelim.1.7." "lnkufrac.1.7." "lnVdist.1.7." "lnVdistmet.1.7." "lnFgutabs.1.8." "lnkgutelim.1.8." "lnkufrac.1.8." "lnVdist.1.8." "lnVdistmet.1.8." "lnFgutabs.1.9." "lnkgutelim.1.9." "lnkufrac.1.9." "lnVdist.1.9." "lnVdistmet.1.9." "lnFgutabs.1.10." "lnkgutelim.1.10." "lnkufrac.1.10." "lnVdist.1.10." "lnVdistmet.1.10." "LnPrior" "LnData" "LnPosterior"
730 -0.762235 1.58003 -1.23177 -3.66593 -2.14872 -1.26854 -0.793327 0.0416081 0.766541 0.40194 0.641128 0.246124 1.29945 1.17346 1.29173 1.2701 1.29967 0.792997 -1.57797 1.30211 0.00401387 1.84491 -2.02963 2.93516 -2.20022 1.06272 2.08582 2.33049 -0.778248 0.819422 0.0766933 -0.350789 -1.81003 -2.81953 -0.600109 0.69763 0.158302 0.420264 -0.13299 1.6145 0.507434 -0.442555 1.19727 1.35 -1.54997 0.060912 -0.990832 -1.29906 0.912365 0.28577 -2.40474 -0.835243 0.792363 1.61766 1.94603 0.0596608 -0.502088 -1.31893 1.85343 -0.0900752 0.905646 1.00145 -0.552582 1.25604 -2.11237 0.906457 -0.515832 -106.6901 -980.8063 -1087.496
530 -1.01015 1.66341 -1.18347 -3.68084 -1.09938 -1.02778 -0.23141 0.174893 0.767065 0.490549 0.524228 0.125965 1.29955 1.16909 1.29739 1.14083 1.29998 -0.0176756 0.137167 1.20729 -0.226287 1.402 -1.0309 -0.137691 -1.82471 1.02862 -0.141206 -1.69598 0.103035 0.900073 -0.198083 1.48989 0.492534 -4.07298 -0.578948 -0.393497 2.25582 0.499873 -0.912499 1.23823 0.0190183 0.525962 -1.63242 0.395216 -1.38098 -0.484254 0.413394 -0.670634 0.560168 0.573347 -3.55498 -1.27403 0.264828 0.50019 1.30943 -0.207352 0.252641 0.180404 -0.826687 -0.295408 0.369329 0.712463 -1.62557 -0.382899 -1.61791 0.699753 0.312238 -96.33512 -978.4591 -1074.794
520 -1.99744 1.40042 -1.20844 -3.73316 -1.40507 -1.02493 -1.91522 0.122246 0.733217 0.546602 0.562745 0.274941 1.29952 1.15047 1.29458 1.11989 1.29903 0.969983 -0.988912 1.12425 -0.533738 0.26994 -0.964371 0.0918773 -1.60835 0.785871 -1.71724 0.611948 -0.241722 0.960886 -0.198083 -0.306259 0.218794 -3.96442 -0.482147 -0.393497 -0.52584 1.47773 -0.912499 0.872655 -0.159783 -1.17341 -0.0488977 0.432261 -1.32434 -0.529386 1.36264 0.561717 1.42087 0.0677623 -3.33217 -1.18484 -1.39822 0.108961 1.21341 -0.16921 1.0323 0.665425 0.856916 -0.1933 0.510833 -0.130292 -1.02444 1.41885 -1.69931 0.699753 0.895523 -95.41625 -975.2149 -1070.631
580 -0.20376 1.75715 -1.20815 -3.67022 -1.28668 -1.03631 -1.45757 0.0279347 0.86183 0.381472 0.503072 0.0169792 1.28496 1.18151 1.29316 1.10088 1.29972 0.150444 -0.031877 1.56812 -0.208958 0.77243 0.18463 0.528293 -2.29531 1.153 0.670294 0.0116084 -0.770477 1.17772 -0.505422 -0.401765 0.521843 -4.13898 -0.826906 -0.293672 0.137264 0.974587 2.14688 1.36751 0.256166 -0.762155 -0.510031 1.95127 -1.822 -0.452789 -0.585491 0.0562996 0.435996 0.429545 -3.71931 0.799804 1.81094 1.83643 1.6028 -0.671576 -0.275334 1.70429 -0.369868 0.134434 0.865438 -1.0059 -0.00303689 0.191855 -1.80302 1.0667 1.42997 -103.8015 -988.2408 -1092.042
830 -2.02506 0.825821 -1.36392 -3.755 -1.46029 -1.14232 -2.28228 0.353072 0.794422 0.463569 0.383586 0.116777 1.2998 1.17549 1.29787 1.20152 1.2988 -0.842689 1.88344 1.27593 -0.0343461 0.106991 1.22915 0.550855 -1.57534 1.55109 -0.677395 -1.22888 0.864268 1.43565 -0.106689 -1.11736 -1.23181 -2.20151 0.0934203 0.507389 0.0503525 -0.936704 1.07216 1.8033 0.192036 -0.268946 0.268702 0.572724 -1.58025 -0.524343 1.74054 -0.0354678 1.14077 0.763331 -4.79311 -0.544594 0.864708 1.45471 1.88869 -0.131587 1.54401 -0.195541 0.547337 0.0354462 0.813969 0.876511 -0.223023 0.664237 -1.42879 1.37008 2.03096 -101.5785 -985.5124 -1087.091
850 -1.56278 1.60041 -1.26967 -3.70565 -2.59534 -0.848847 -2.57429 0.178965 0.860093 0.513528 0.462444 0.236272 1.29985 1.21644 1.28443 1.13878 1.29985 0.577204 -1.42904 1.14291 -0.575604 -1.42429 0.672157 0.423002 -1.85904 0.507896 0.254897 0.452665 0.11569 1.17344 -0.855634 1.16844 1.50942 -3.29699 -0.178844 -0.332182 2.21353 -1.10376 -0.216487 1.04183 -0.396728 -2.59966 -0.565832 1.58819 -1.2104 -0.70809 -0.574338 1.3057 0.608381 0.257683 -4.51255 -1.80011 -0.0748701 1.72325 1.27464 -0.782654 -0.46788 0.536892 1.43053 -0.210424 0.401919 -0.867447 -0.00378063 1.40638 -1.87409 0.35418 0.360377 -106.87 -980.2404 -1087.11
770 -2.13767 1.12634 -0.95342 -3.64569 -2.06369 -0.966824 -0.895063 0.153585 0.541244 0.480212 0.439408 0.0164314 1.29995 1.11074 1.29699 1.26629 1.29883 1.14714 1.47213 0.335997 -0.591839 0.450093 -0.729084 -0.120402 -2.78132 1.02187 -0.692227 -0.179288 -0.216105 0.379272 -0.727778 -0.856896 1.55845 -3.94037 -1.3066 -0.0749736 1.73492 0.587908 1.07674 0.740001 0.213604 1.63764 -0.463046 0.711391 -2.15069 -0.625992 0.532506 0.511389 0.749638 -0.381164 -4.11836 -0.545264 0.413161 1.06285 0.64488 -0.728644 -0.465577 0.922725 -0.234118 -0.59741 0.569587 -0.530187 -1.18035 2.43551 -2.173 0.952615 -0.0914659 -96.16395 -984.3371 -1080.501
570 -0.601155 1.73391 -1.20981 -3.65387 -2.88523 -1.04119 -3.30662 0.0632325 0.804498 0.412253 0.426689 0.168693 1.29299 1.19154 1.29857 1.13349 1.29908 -0.0798835 0.766192 1.69887 -0.423418 -1.1764 -0.650716 2.31962 -2.45625 1.2845 -1.00026 -1.21059 0.0360208 1.02032 -0.35598 0.284856 1.86272 -4.14602 -0.266474 -0.244475 -1.55053 -0.0646157 2.70549 1.59224 0.293258 0.372873 1.4638 1.54309 -1.80004 -0.452789 -0.585491 -0.10879 0.186201 -0.0333862 -4.08833 0.0409925 -1.87846 0.942443 1.74329 -0.00967086 0.164246 0.116658 1.4609 0.161063 0.980465 -0.638037 0.330467 1.0411 -1.87069 1.34218 -1.60579 -112.5632 -984.214 -1096.777
650 -1.4577 1.67155 -1.1861 -3.64622 -1.27569 -1.34174 -1.34241 0.0433979 0.670768 0.396269 0.520012 0.34723 1.29989 1.11279 1.29441 1.2241 1.29957 -1.6613 1.27328 1.1964 0.20191 -1.34614 0.433224 0.942129 -2.13722 1.51486 -0.46377 -0.104678 -1.49857 0.633539 -0.302775 1.27808 -0.0594123 -3.8825 -0.654179 0.861886 -0.128144 -1.14878 2.13265 1.3555 0.790194 -0.603522 1.38801 0.758668 -1.73213 0.314642 -0.391479 -1.37269 0.420737 0.22627 -2.67387 -0.310232 0.810484 0.952776 1.90944 0.612898 1.2029 -1.15383 -0.651723 -0.483279 1.05916 -1.44791 1.32547 -0.427563 -2.34277 1.53315 0.453651 -100.9441 -979.4618 -1080.406
520 -1.39526 1.51631 -1.14812 -3.68819 -3.04641 -0.988673 -2.34652 0.203655 0.75082 0.574321 0.5343 0.1474 1.29879 1.18024 1.29654 1.28477 1.29803 -0.771335 1.21066 0.788986 -0.206158 -1.47165 0.648515 1.60203 -1.62048 0.894166 0.0743908 0.0159217 0.0097061 0.719106 -0.198957 0.409223 1.24269 -3.12214 -0.656312 -0.0212436 -0.43675 0.0431443 0.591819 0.860244 -0.0231126 -1.2992 0.287078 -0.255024 -1.30315 -0.331511 -0.846429 0.645422 0.333599 0.177994 -3.21075 0.867255 -0.690808 0.639758 1.30097 -0.364703 -0.505627 -1.00901 0.231023 -0.0973509 0.50288 0.368986 0.681448 0.328724 -1.55543 1.06987 -1.11063 -87.4651 -988.1795 -1075.645
