iter	M_lnFgutabs(1)	M_lnkgutelim(1)	M_lnkufrac(1)	M_lnCltot(1)	M_lnClmet(1)	M_lnVdist(1)	M_lnVdistmet(1)	SD_lnFgutabs(1)	SD_lnkgutelim(1)	SD_lnkufrac(1)	SD_lnVdist(1)	SD_lnVdistmet(1)	GSD_Ccpt(1)	GSD_Cmet(1)	GSD_Qu(1)	GSD_Q_fec(1)	GSD_Qu_met(1)	lnFgutabs(1.1)	lnkgutelim(1.1)	lnkufrac(1.1)	lnVdist(1.1)	lnVdistmet(1.1)	lnFgutabs(1.2)	lnkgutelim(1.2)	lnkufrac(1.2)	lnVdist(1.2)	lnVdistmet(1.2)	lnFgutabs(1.3)	lnkgutelim(1.3)	lnkufrac(1.3)	lnVdist(1.3)	lnVdistmet(1.3)	lnFgutabs(1.4)	lnkgutelim(1.4)	lnkufrac(1.4)	lnVdist(1.4)	lnVdistmet(1.4)	lnFgutabs(1.5)	lnkgutelim(1.5)	lnkufrac(1.5)	lnVdist(1.5)	lnVdistmet(1.5)	lnFgutabs(1.6)	lnkgutelim(1.6)	lnkufrac(1.6)	lnVdist(1.6)	lnVdistmet(1.6)	lnFgutabs(1.7)	lnkgutelim(1.7)	lnkufrac(1.7)	lnVdist(1.7)	lnVdistmet(1.7)	lnFgutabs(1.8)	lnkgutelim(1.8)	lnkufrac(1.8)	lnVdist(1.8)	lnVdistmet(1.8)	lnFgutabs(1.9)	lnkgutelim(1.9)	lnkufrac(1.9)	lnVdist(1.9)	lnVdistmet(1.9)	lnFgutabs(1.10)	lnkgutelim(1.10)	lnkufrac(1.10)	lnVdist(1.10)	lnVdistmet(1.10)	LnPrior	LnData	LnPosterior
0	-1.70702	0.7582	-0.99268	-3.24964	-2.89248	2.52413	0.378528	0.125061	0.166115	0.0615399	0.0799194	0.254367	1.14192	1.2272	1.26475	1.17419	1.23398	-1.84304	0.128395	0.591117	-1.66349	-2.2125	-1.10702	-1.75564	-0.459037	1.11989	-0.836666	-0.0719331	1.29218	-0.682895	-0.998505	0.677206	-0.450246	0.0223258	0.269559	-2.04165	1.27249	-1.02142	-0.275143	0.30236	-0.0951313	0.39609	-0.098513	-0.132159	0.23718	-0.160518	1.37031	0.00753054	-0.3799	-0.18719	-1.10892	1.16121	-0.404617	-0.0511126	-0.178369	-1.08183	-0.188372	-0.934827	-1.17245	1.30808	-0.803978	1.24295	1.54812	-0.733889	-2.64067	0.526094	-0.076972	-7.278953e+001	-3.399074e+004	-3.406353e+004
10	-1.88826	1.80124	-1.09427	-3.24964	-2.96448	-0.88614	-1.58948	0.256376	0.281038	0.258701	0.413663	0.0921416	1.2909	1.24392	1.29646	1.12398	1.29938	1.47697	-0.370463	0.953896	-1.44852	-0.641266	-1.58838	-0.372575	-4.36347	1.69811	0.312191	-0.0719331	1.08016	0.286808	-0.742665	0.560039	-1.16268	1.3056	-1.56732	0.518597	0.406971	-0.436159	-0.494531	1.24819	0.639281	0.980178	-1.29557	-0.0111836	-1.73472	0.324796	-0.450785	-0.501907	1.95414	-0.704117	-2.62657	0.601305	0.311576	0.474175	2.31238	0.0392893	-0.818798	0.0735305	-1.29377	-0.794143	1.11525	-0.415608	-0.802902	-0.867003	-4.19843	1.98922	0.308532	-9.652156e+001	-1.174131e+003	-1.270653e+003
20	-0.543488	2.31305	-1.09427	-3.53648	-2.52842	-1.03421	-0.987795	0.422232	0.189461	0.267927	0.41073	0.252835	1.29713	1.23795	1.29646	1.2535	1.29776	0.411349	0.687262	1.22075	-0.599509	-1.03385	0.796198	-0.490661	-4.21123	1.69811	0.349083	1.43304	-1.74845	1.13937	-0.0107012	0.317002	1.71315	0.848085	-1.3752	1.57972	1.36658	-0.551888	0.305269	1.52725	0.767248	-2.37917	0.100884	-0.815085	-2.45774	-0.0614874	-1.24656	1.8164	0.988313	0.75961	-3.85172	0.704181	1.55409	-0.012024	2.08627	-0.145096	-0.563091	0.773194	0.292653	-1.01803	1.01651	-1.15539	1.16814	-0.536642	-3.43283	1.38415	0.131743	-1.064919e+002	-1.028925e+003	-1.135417e+003
30	-1.3446	1.60163	-1.1069	-3.64235	-1.88851	-1.03421	-0.828221	0.186836	0.340378	0.331672	0.4844	0.146599	1.29713	1.17173	1.29959	1.26594	1.29924	0.424526	-0.548481	1.40845	-0.599509	0.160389	0.301234	-0.193096	-2.99187	1.08051	-0.90189	2.19361	-1.00685	0.805574	-0.313169	2.42394	-1.17792	-1.61522	-0.0322456	1.57972	-0.333473	-1.41479	-0.120802	1.81838	0.132055	-0.864672	0.100884	-0.393942	-1.75666	-0.29532	-0.564093	1.46158	0.988313	0.266225	-3.70776	-0.600125	1.12271	-0.012024	2.08627	-0.345185	-0.302022	1.05724	0.609584	-0.945754	0.536482	0.194329	-0.792362	-0.368727	-3.15113	1.11297	-1.39325	-9.338089e+001	-1.010232e+003	-1.103612e+003
40	-0.74109	1.45165	-1.1069	-3.70168	-0.858003	-1.08876	-0.828221	0.192867	0.517572	0.31646	0.494556	0.172907	1.29713	1.17756	1.29959	1.1994	1.29998	1.41569	-0.548481	1.33463	-0.275377	-0.535275	0.679867	0.982396	-3.00021	1.33082	-1.44856	0.563187	0.476354	0.805574	-0.500374	1.42619	-0.475777	-4.09361	-0.0322456	1.17137	-0.475741	0.929645	-0.565068	1.41167	-0.0115721	-0.600588	-0.0273521	0.845353	-2.83482	-0.425421	-0.564093	0.659382	1.18483	0.171614	-3.70776	-0.79496	1.1909	-0.012024	2.08627	-0.442093	1.33389	-2.75108e-005	1.86576	-0.425686	0.526076	-0.986201	2.37324	1.85313	-3.42629	1.07594	1.39738	-1.090278e+002	-9.848803e+002	-1.093908e+003
50	-1.0368	1.30333	-1.1069	-3.71218	-2.09682	-1.08876	-2.02777	0.144064	0.506747	0.296621	0.435648	0.0373461	1.29721	1.11496	1.29959	1.28509	1.29998	-0.367148	-0.657865	1.43468	-0.466956	0.995227	-0.091421	0.591956	-3.18911	1.13008	-0.0790734	1.1006	0.51269	1.36213	-0.289445	-0.71579	0.251241	-3.09926	-0.839987	1.17137	1.13861	-0.124895	-0.595258	1.87405	0.463201	1.1436	-0.0273521	1.24736	-2.82938	-0.281204	0.263183	-0.855111	1.40233	-0.579969	-4.15562	-1.03796	0.899791	1.59733	1.65141	-0.604008	1.33487	-0.0739093	0.745416	-0.876236	0.676989	1.43987	-0.15028	0.024521	-3.20212	0.765955	1.02513	-9.990132e+001	-9.833939e+002	-1.083295e+003
60	-0.157474	1.34558	-1.1069	-3.69965	-2.27746	-1.13565	-2.32511	0.166914	0.512543	0.306013	0.468005	0.0119243	1.29895	1.23632	1.29797	1.16483	1.29998	0.945517	-0.07106	1.64579	-0.571518	1.06275	1.58225	-0.00774998	-2.34989	1.35987	-1.62701	-0.788011	0.69559	1.08337	-0.18859	0.128377	0.561479	-3.34939	-0.986589	1.17137	0.555369	0.315895	1.14693	1.6834	0.254561	1.1436	-0.599163	0.889803	-1.9296	-0.202216	-0.217529	0.189147	1.18458	-0.394629	-3.6506	-0.990396	0.117571	0.568552	1.62671	-0.441216	-0.77409	-0.188079	0.745416	-0.657284	0.912786	0.23354	1.51531	0.849424	-3.09638	0.916163	1.33827	-9.586732e+001	-9.855933e+002	-1.081461e+003
70	-0.381003	1.40234	-1.11575	-3.69965	-1.42089	-1.13565	-2.32511	0.209806	0.666897	0.350061	0.443983	0.472893	1.29923	1.11792	1.29689	1.16901	1.29998	1.67873	-0.396021	1.48496	-0.366707	-0.0177642	2.57472	1.43146	-2.70782	1.34987	1.17204	-0.468759	0.153384	0.705873	-0.36927	-0.90343	0.668777	-3.34939	-0.721401	1.17137	0.926062	1.44443	0.268531	1.46479	0.196192	-0.791559	-1.55252	0.754262	-1.68512	-0.0356879	-0.279516	-0.197896	1.52727	0.173858	-3.58975	-0.733788	-1.66945	0.0896778	1.50349	-0.0701801	-1.20377	-1.60958	0.745416	-0.480346	0.983597	0.270385	1.36457	0.914007	-3.09638	1.32571	-0.729024	-1.075835e+002	-9.778284e+002	-1.085412e+003
80	-0.611136	0.772467	-1.12031	-3.69965	-2.53412	-1.18285	-2.79514	0.262284	0.682441	0.381613	0.519584	0.0450883	1.29912	1.2424	1.27588	1.19764	1.29998	0.170573	0.0579534	1.32327	-0.426573	2.12638	-0.622997	1.43146	-2.24878	1.58748	0.740639	-0.314346	0.230325	1.11226	-0.169984	2.53778	0.0649262	-2.768	-1.15536	0.118978	-2.10812	-0.60622	0.806087	1.46249	0.347193	-1.10077	-0.56131	1.63224	-1.60807	0.0133397	0.423533	-0.250656	1.68629	0.173858	-3.44535	-0.540553	1.16145	0.809716	1.4928	-0.231092	-2.24201	-0.579749	1.10907	-0.538865	0.744526	-0.597632	-0.605706	1.15242	-2.16342	1.32571	-0.729024	-1.012110e+002	-9.829185e+002	-1.084129e+003
90	-1.00721	0.916144	-1.12031	-3.68548	-2.72271	-1.23432	-3.16057	0.0713816	0.682441	0.435132	0.625968	0.502273	1.29951	1.26243	1.29628	1.23777	1.29998	0.179087	0.659539	0.961797	-0.0892636	-0.820116	0.976122	2.37928	-2.52844	0.842065	-1.37897	-0.448589	0.711082	0.588136	-0.340988	-0.872555	1.81259	-3.40558	-1.11872	0.206913	-0.618661	-0.264282	0.0944702	1.38828	0.504138	-0.135835	-0.642806	1.63224	-1.94898	-0.119818	-0.631029	1.77528	1.68629	0.173858	-2.51329	-1.9606	0.370456	1.9051	1.29948	0.250453	0.195383	1.00285	2.09504	-0.383282	0.749431	0.651765	-0.875643	1.7447	-2.00095	1.31307	0.219744	-1.058755e+002	-9.758642e+002	-1.081740e+003
