iter	M_lnFgutabs(1)	M_lnkgutelim(1)	M_lnkufrac(1)	M_lnCltot(1)	M_lnClmet(1)	M_lnVdist(1)	M_lnVdistmet(1)	SD_lnFgutabs(1)	SD_lnkgutelim(1)	SD_lnkufrac(1)	SD_lnVdist(1)	SD_lnVdistmet(1)	GSD_Ccpt(1)	GSD_Cmet(1)	GSD_Qu(1)	GSD_Q_fec(1)	GSD_Qu_met(1)	lnFgutabs(1.1)	lnkgutelim(1.1)	lnkufrac(1.1)	lnVdist(1.1)	lnVdistmet(1.1)	lnFgutabs(1.2)	lnkgutelim(1.2)	lnkufrac(1.2)	lnVdist(1.2)	lnVdistmet(1.2)	lnFgutabs(1.3)	lnkgutelim(1.3)	lnkufrac(1.3)	lnVdist(1.3)	lnVdistmet(1.3)	lnFgutabs(1.4)	lnkgutelim(1.4)	lnkufrac(1.4)	lnVdist(1.4)	lnVdistmet(1.4)	lnFgutabs(1.5)	lnkgutelim(1.5)	lnkufrac(1.5)	lnVdist(1.5)	lnVdistmet(1.5)	lnFgutabs(1.6)	lnkgutelim(1.6)	lnkufrac(1.6)	lnVdist(1.6)	lnVdistmet(1.6)	lnFgutabs(1.7)	lnkgutelim(1.7)	lnkufrac(1.7)	lnVdist(1.7)	lnVdistmet(1.7)	lnFgutabs(1.8)	lnkgutelim(1.8)	lnkufrac(1.8)	lnVdist(1.8)	lnVdistmet(1.8)	lnFgutabs(1.9)	lnkgutelim(1.9)	lnkufrac(1.9)	lnVdist(1.9)	lnVdistmet(1.9)	lnFgutabs(1.10)	lnkgutelim(1.10)	lnkufrac(1.10)	lnVdist(1.10)	lnVdistmet(1.10)	LnPrior	LnData	LnPosterior
0	-1.32714	1.04548	-0.0144483	-3.08569	-4.76608	0.431892	-0.725035	0.373208	0.0417773	0.0807053	0.00341906	0.0185264	1.27278	1.26966	1.15552	1.16714	1.28761	0.543949	-0.507041	-0.988438	0.384914	-1.15941	-0.782877	0.782844	0.89941	0.174331	0.273278	0.516582	-1.13056	-0.077026	-1.04017	0.479048	0.373822	-1.62027	1.5418	-0.0488249	-0.609659	1.23819	-0.621228	1.36009	-0.0938101	-0.790228	-0.114636	0.160906	-0.227384	1.51582	1.22561	0.50769	-1.17156	0.792027	-0.641082	0.557128	-0.766053	-0.949218	-0.383113	1.12022	0.195577	-2.01839	1.46623	-0.471082	-0.96587	0.0114087	-0.524761	0.968168	0.680802	-0.216602	0.436723	-6.490969e+001	-8.326373e+004	-8.332864e+004
10	-0.86586	2.96386	-0.415536	-3.36266	-2.2163	-0.250164	-2.96395	0.110231	0.0343447	0.14183	0.10895	0.163355	1.29181	1.13517	1.29027	1.15591	1.29952	-0.0373887	-0.0260927	0.528415	-3.55047	-0.893629	0.40086	-0.167763	-0.287889	1.59597	1.02135	0.516582	-1.08448	-1.5099	-5.40964	0.0625041	0.0384623	1.43552	-1.48607	2.75526	2.13882	-0.681741	0.294598	-0.14056	-0.383463	-1.23257	1.08129	-0.293913	-2.61813	-2.14104	-0.763177	-1.47523	0.716175	-0.497491	-9.16044	-1.31439	-0.586289	-1.60117	-1.29884	-5.06613	0.908842	-1.05594	0.342784	-1.36381	-0.729931	-0.352521	0.0124294	0.674156	-7.11106	0.523716	0.050467	-1.805877e+002	-1.523847e+003	-1.704434e+003
20	-1.30624	2.19684	-1.06834	-3.4824	-1.46942	-0.250164	-2.58684	0.108005	0.205543	0.163068	0.213372	0.0140369	1.29251	1.22866	1.29405	1.2272	1.29952	1.61948	0.0361578	2.88325	-2.71069	0.269684	0.802658	-2.36907	-3.89505	0.500998	0.994272	-0.781104	1.14454	1.14551	-3.31353	0.903305	-1.35728	0.0872591	-0.71037	-1.49815	-0.226246	0.342487	0.270376	1.44099	-2.93887	-1.54742	1.73066	-0.270787	-3.62344	-3.01552	0.996388	-1.45406	0.661841	-0.109689	-9.05074	-0.572546	-0.902676	-0.783703	1.84465	-4.69883	-1.2067	0.298725	-1.44362	-1.01856	-1.18068	1.26028	-0.294786	-1.4159	-3.74861	0.523716	1.74508	-1.703447e+002	-1.106252e+003	-1.276596e+003
30	-1.30274	2.43828	-1.11198	-3.66575	-1.25362	-0.458198	-0.792022	0.157567	0.440328	0.209712	0.2235	0.0532432	1.29972	1.1273	1.29692	1.24127	1.29949	0.0651418	0.921737	2.89111	-2.76861	-0.732436	0.833939	-0.905624	-4.4708	-0.332436	-0.888183	1.71442	-0.248821	1.35054	-3.31353	1.16409	-1.30702	-2.24465	-0.827482	-0.460893	-1.33298	-0.150676	-1.17818	1.44099	-2.29711	0.0331654	0.35939	0.220512	-3.69922	-3.23967	0.141355	1.96582	1.62184	-0.482967	-9.12133	-0.0659817	-0.985816	-0.0784371	2.78874	-3.48819	-1.2067	0.448226	1.20356	-0.398083	-1.18068	0.946446	-1.18937	-0.791681	-3.74861	-0.276471	-1.70175	-1.693946e+002	-1.015692e+003	-1.185087e+003
40	-0.294205	1.56457	-1.0997	-3.70855	-2.15715	-0.458198	-2.73686	0.228627	0.61665	0.235226	0.261885	0.0667694	1.29972	1.23321	1.29959	1.22599	1.29846	-0.401581	-0.115731	1.40862	-2.9017	2.63457	1.81959	-0.576516	-3.31189	0.0141593	-0.648279	0.462868	-0.378445	1.35054	-2.61486	0.328601	-1.54657	-3.90524	-0.218774	-0.460893	-1.61707	-1.67807	-1.02321	2.31944	-1.76158	-1.41141	0.386008	0.524275	-3.14728	-2.43758	0.86048	-0.452087	0.886922	0.598707	-8.14409	-1.3109	0.793157	0.0240362	2.48011	-2.45665	1.39291	0.432326	0.518224	-0.587237	-0.943849	2.54302	1.87806	0.613413	-3.74861	-0.0460421	0.56977	-1.573969e+002	-9.942276e+002	-1.151624e+003
50	-1.66232	1.53168	-1.0997	-3.70855	-2.68436	-0.458198	-1.81166	0.313863	0.575857	0.25242	0.309002	0.00623862	1.29972	1.27058	1.29959	1.24673	1.29846	-0.886704	1.5971	1.40862	-3.32736	-1.78208	-0.745767	0.0935623	-2.99649	-0.610864	0.275798	-0.858422	0.281441	1.22487	-2.61486	-0.95913	-0.493267	-3.90524	-2.13552	-0.862229	-0.680898	-0.531835	-0.349964	1.77754	-1.60079	-2.00853	-0.452767	0.771878	-3.14738	-2.60065	-0.3832	-0.492815	0.886922	0.656877	-8.14409	1.39909	2.32798	1.51982	1.49655	-2.45665	-0.0434624	0.314613	0.456973	-0.587237	-0.861695	-1.7391	1.12885	0.444793	-3.29225	-0.398213	0.968738	-1.491097e+002	-9.914285e+002	-1.140538e+003
60	-0.610768	1.56494	-1.09136	-3.64854	-2.76817	-0.462294	-2.15816	0.313863	0.499133	0.310381	0.330453	0.0685021	1.29839	1.14796	1.29892	1.25993	1.29886	0.20008	0.00490049	1.68865	-2.62843	0.58735	-0.474521	1.51593	-3.59999	-0.610864	0.35387	-1.10228	0.10934	0.86392	-2.54319	-0.301232	-1.29165	-3.99179	-0.397146	-0.274634	0.720635	-0.531835	-1.18263	1.80755	-1.60079	-0.425325	0.387669	1.47878	-2.33183	-2.33364	0.55056	-0.0922934	-0.378459	-0.180993	-6.73516	1.46028	-0.0753985	-0.158781	1.70073	-1.6979	-1.1684	-1.8104	0.499225	-0.437596	-0.343038	-0.473782	0.0349304	-0.449235	-3.29225	-0.398213	0.769546	-1.259542e+002	-9.910087e+002	-1.116963e+003
70	-1.40401	1.72246	-1.10886	-3.68685	-3.61506	-0.462294	-3.51667	0.227183	0.616957	0.330207	0.352004	0.283112	1.29811	1.23892	1.29669	1.29714	1.29993	1.12544	-0.329684	1.60536	-1.43652	0.499525	-0.474521	0.157526	-3.3881	-0.725442	0.320304	-2.32721	0.10934	0.827855	-2.31639	-0.863799	0.320264	-4.84509	-0.813882	-1.18451	-0.615855	-0.41311	0.735269	1.36002	-1.37157	-0.720555	0.467379	0.50218	-2.08381	-1.96996	-0.829721	1.42372	0.868697	-0.164156	-6.6322	0.264781	-0.40952	0.902567	1.42132	-1.7298	1.82553	-2.20811	0.221175	-0.684972	-0.780626	-0.473782	1.11944	-0.266746	-3.29225	-0.398213	-0.377875	-1.315506e+002	-9.781051e+002	-1.109656e+003
80	-1.91266	2.01992	-1.064	-3.69302	-3.61506	-0.462294	-2.82121	0.131395	0.615922	0.342501	0.374464	0.118628	1.299	1.21998	1.29856	1.28765	1.29993	-0.389225	-0.267264	1.52364	-1.3549	-0.571231	-0.327447	-0.375643	-2.81695	-0.314368	-0.809202	0.148555	-1.30736	0.861498	-1.76608	0.726237	1.20744	-4.54676	-0.749891	-0.676742	0.0793157	1.3423	-1.07302	1.2765	-1.35768	0.511831	-0.141413	0.389833	-2.21263	-2.12983	0.218776	-0.674827	0.554385	0.0341196	-6.4008	1.7201	0.19531	-0.604182	1.42132	-2.25282	0.185855	-0.177719	-0.305136	-0.0865908	-0.334561	0.0173581	0.909817	-0.266746	-3.2611	-0.285231	-0.367432	-1.181713e+002	-9.754193e+002	-1.093591e+003
90	-1.34543	1.83791	-1.09739	-3.69302	-3.01466	-0.47978	-2.33572	0.168837	0.67925	0.385277	0.393171	0.275635	1.29938	1.21773	1.29454	1.22586	1.29996	0.0836642	-0.237799	1.48205	-1.39361	-1.60625	1.41788	2.275	-2.5424	-0.131119	1.04345	-0.643569	-0.377916	0.615545	-1.76608	0.225432	0.129312	-4.65159	-1.02707	-1.25776	-0.918581	0.992206	0.949876	1.13371	-1.35768	-0.564131	-0.967549	1.05827	-2.21263	-1.96201	-1.63183	-0.799488	1.55635	-0.324483	-5.80781	0.170805	0.117767	0.942485	1.86978	-1.3956	-0.648093	0.186486	1.2984	-0.425299	-0.639486	-1.05587	-0.845814	0.759259	-2.28848	-0.369127	-0.367432	-1.194381e+002	-9.772452e+002	-1.096683e+003
