Results of Simulation 1

Time	Ccpt_out	Qu_out	Qu_met_out
16.9	0.0588604	1524.96	436.353
17	0.0586281	1531.85	440.747
17.1	0.0583966	1538.72	445.152
17.2	0.0581661	1545.55	449.566
17.3	0.0579364	1552.36	453.991
17.4	0.0577077	1559.15	458.425
17.5	0.0574799	1565.9	462.869
17.6	0.0572529	1572.63	467.322
17.7	0.0570269	1579.34	471.785
17.8	0.0568018	1586.01	476.256
17.9	0.0565775	1592.66	480.737
18	0.0563542	1599.29	485.226
18.1	0.0561317	1605.89	489.725
18.2	0.0559101	1612.46	494.232
18.3	0.0556893	1619	498.747
18.4	0.0554695	1625.52	503.271
18.5	0.0552505	1632.02	507.803
18.6	0.0550324	1638.49	512.342
18.7	0.0548151	1644.93	516.89
18.8	0.0545987	1651.35	521.446
18.9	0.0543831	1657.74	526.009
19	0.0541684	1664.11	530.58
19.1	0.0539546	1670.45	535.158
19.2	0.0537416	1676.77	539.743
19.3	0.0535294	1683.06	544.336
19.4	0.0533181	1689.33	548.935
19.5	0.0531076	1695.57	553.542
19.6	0.0528979	1701.79	558.155
19.7	0.0526891	1707.98	562.775
19.8	0.0524811	1714.15	567.401
19.9	0.0522739	1720.29	572.034
20	0.0520675	1726.41	576.673
20.1	0.0518619	1732.51	581.318
20.2	0.0516572	1738.58	585.969
20.3	0.0514533	1744.63	590.626
20.4	0.0512501	1750.65	595.288
20.5	0.0510478	1756.65	599.957
20.6	0.0508463	1762.63	604.631
20.7	0.0506455	1768.58	609.31
20.8	0.0504456	1774.51	613.995
20.9	0.0502464	1780.42	618.684
21	0.050048	1786.3	623.379
21.1	0.0498505	1792.16	628.079
21.2	0.0496537	1798	632.784
21.3	0.0494576	1803.81	637.493
21.4	0.0492624	1809.6	642.207
21.5	0.0490679	1815.37	646.926
21.6	0.0488742	1821.11	651.649
21.7	0.0486812	1826.83	656.376
21.8	0.048489	1832.53	661.108
21.9	0.0482976	1838.21	665.843
22	0.0481069	1843.87	670.583
22.1	0.047917	1849.5	675.326
22.2	0.0477278	1855.11	680.074
22.3	0.0475394	1860.7	684.824
22.4	0.0473517	1866.26	689.579
22.5	0.0471648	1871.81	694.337
22.6	0.0469786	1877.33	699.098
22.7	0.0467931	1882.83	703.863
22.8	0.0466084	1888.31	708.63
22.9	0.0464244	1893.76	713.401
23	0.0462411	1899.2	718.175
23.1	0.0460585	1904.61	722.951
23.2	0.0458767	1910.01	727.731
23.3	0.0456956	1915.38	732.513
23.4	0.0455152	1920.73	737.297
23.5	0.0453355	1926.06	742.084
23.6	0.0451565	1931.36	746.874
23.7	0.0449782	1936.65	751.665
23.8	0.0448006	1941.92	756.459
23.9	0.0446238	1947.16	761.255
24	0.0444476	1952.39	766.053
24.1	0.0442721	1957.59	770.853
24.2	0.0440973	1962.77	775.655
24.3	0.0439232	1967.94	780.459
24.4	0.0437498	1973.08	785.264
24.5	0.0435771	1978.2	790.071
24.6	0.0434051	1983.3	794.879
24.7	0.0432337	1988.38	799.689
24.8	0.043063	1993.45	804.5
24.9	0.042893	1998.49	809.312
25	0.0427237	2003.51	814.125
25.1	0.042555	2008.51	818.94
25.2	0.042387	2013.49	823.755
25.3	0.0422197	2018.46	828.571
25.4	0.042053	2023.4	833.389
25.5	0.041887	2028.32	838.206
25.6	0.0417216	2033.23	843.025
25.7	0.0415569	2038.11	847.844
25.8	0.0413928	2042.98	852.663
25.9	0.0412294	2047.82	857.483
26	0.0410666	2052.65	862.304
26.1	0.0409045	2057.46	867.124
26.2	0.040743	2062.25	871.945
26.3	0.0405822	2067.02	876.765
26.4	0.0404219	2071.77	881.586
