iter	M_lnFgutabs(1)	M_lnkgutelim(1)	M_lnkufrac(1)	M_lnCltot(1)	M_lnClmet(1)	M_lnVdist(1)	M_lnVdistmet(1)	SD_lnFgutabs(1)	SD_lnkgutelim(1)	SD_lnkufrac(1)	SD_lnVdist(1)	SD_lnVdistmet(1)	GSD_Ccpt(1)	GSD_Cmet(1)	GSD_Qu(1)	GSD_Q_fec(1)	GSD_Qu_met(1)	lnFgutabs(1.1)	lnkgutelim(1.1)	lnkufrac(1.1)	lnVdist(1.1)	lnVdistmet(1.1)	lnFgutabs(1.2)	lnkgutelim(1.2)	lnkufrac(1.2)	lnVdist(1.2)	lnVdistmet(1.2)	lnFgutabs(1.3)	lnkgutelim(1.3)	lnkufrac(1.3)	lnVdist(1.3)	lnVdistmet(1.3)	lnFgutabs(1.4)	lnkgutelim(1.4)	lnkufrac(1.4)	lnVdist(1.4)	lnVdistmet(1.4)	lnFgutabs(1.5)	lnkgutelim(1.5)	lnkufrac(1.5)	lnVdist(1.5)	lnVdistmet(1.5)	lnFgutabs(1.6)	lnkgutelim(1.6)	lnkufrac(1.6)	lnVdist(1.6)	lnVdistmet(1.6)	lnFgutabs(1.7)	lnkgutelim(1.7)	lnkufrac(1.7)	lnVdist(1.7)	lnVdistmet(1.7)	lnFgutabs(1.8)	lnkgutelim(1.8)	lnkufrac(1.8)	lnVdist(1.8)	lnVdistmet(1.8)	lnFgutabs(1.9)	lnkgutelim(1.9)	lnkufrac(1.9)	lnVdist(1.9)	lnVdistmet(1.9)	lnFgutabs(1.10)	lnkgutelim(1.10)	lnkufrac(1.10)	lnVdist(1.10)	lnVdistmet(1.10)	LnPrior	LnData	LnPosterior
100	-0.759902	1.73042	-0.548303	-3.68734	-0.098024	-0.884835	-0.807707	0.0179797	0.687872	0.538202	0.330563	0.0910033	1.29696	1.2963	1.28198	1.11087	1.29975	-0.287708	-0.798717	-0.0934532	-0.562425	-2.00308	-1.22692	1.45599	-2.7523	1.05668	-1.55008	0.288802	-0.706115	-0.438164	-0.867113	1.19849	-0.999675	-3.72952	-1.48338	0.279414	0.656896	0.614552	0.203452	0.068131	0.155317	0.235454	0.20921	-0.113147	-2.58694	-1.2783	0.498444	1.03637	1.39654	-1.04959	-5.65563	1.07415	1.49398	0.428346	-0.0103564	-0.918448	-0.644823	-0.166907	-0.746369	-1.58061	0.165954	-0.635058	0.392212	0.386318	-2.66863	0.54629	-1.44722	-1.121223e+002	-9.850756e+002	-1.097198e+003
110	-1.44418	1.8756	-0.677979	-3.65833	-1.72254	-0.998435	-1.45159	0.043337	0.637687	0.494635	0.348941	0.264677	1.29722	1.25729	1.29886	1.10804	1.29975	-0.287708	-0.758216	0.0887706	-0.413486	-2.04665	0.51949	1.91179	-3.28233	0.991137	-0.903949	1.58058	0.591982	-0.264282	-0.562375	0.810153	-0.999675	-4.25093	-1.48338	0.236514	0.12755	-0.694998	0.351204	-0.0332553	0.155317	0.611167	0.356085	1.87339	-2.28049	-0.536948	-0.501034	-1.57787	0.49213	-0.567939	-5.37317	-0.598075	0.222049	0.743429	0.445798	-0.352974	-1.2769	-0.455157	0.57538	-1.48757	0.724597	0.416663	-0.0050889	1.44527	-2.69249	1.25006	2.08136	-1.126227e+002	-9.784168e+002	-1.091039e+003
120	-1.32233	1.20488	-0.657109	-3.70887	-1.2087	-0.988051	-0.890471	0.114706	0.637687	0.446204	0.419577	0.144502	1.29943	1.13901	1.29959	1.2505	1.29937	-1.1086	0.608463	0.173832	-0.708522	2.63829	0.105377	0.148579	-3.49852	0.924637	2.03863	-0.337306	-1.39639	-0.217192	-1.14953	0.359053	-0.318635	-4.1399	-1.74039	0.0211592	1.40757	-1.85165	-0.0110273	0.331034	0.141403	-0.548787	-0.689598	1.70148	-2.96876	-0.886353	-0.685143	-2.04717	1.85315	-1.12269	-4.92188	-0.0533767	-0.272114	2.19677	0.0390827	-0.655551	0.874844	-0.455157	0.787246	-1.28643	0.60846	0.0417801	0.539042	0.795257	-3.18401	0.777262	0.941722	-1.181788e+002	-9.742146e+002	-1.092393e+003
130	-1.89486	1.30383	-0.833907	-3.70887	-0.617731	-0.913224	-1.17683	0.241779	0.637687	0.433987	0.441166	0.589249	1.29905	1.2964	1.29898	1.11173	1.29937	0.0762283	0.246242	0.565623	-0.537384	-1.08461	-0.761808	0.723761	-3.14586	0.924637	-0.0190688	-1.48114	-0.619012	0.253817	-1.06303	-0.314308	-0.624182	-3.55391	-1.55693	-0.263125	0.769646	0.757154	-0.0110273	0.359176	-0.265301	-0.158192	-1.49709	1.10675	-2.5998	-0.587322	0.0851316	-0.526278	1.20909	-1.19196	-4.56113	-0.036196	-0.126395	2.12254	0.707667	-0.502291	1.3482	0.727024	0.399825	-0.984773	0.60846	1.05574	1.77768	1.68866	-2.98415	0.777262	-0.878439	-1.099781e+002	-9.746789e+002	-1.084657e+003
140	-1.18744	0.840707	-0.891762	-3.70887	-0.617731	-0.995761	-1.17683	0.0704776	0.645049	0.379761	0.449941	0.0502163	1.29686	1.23645	1.29189	1.15491	1.29937	-1.27403	-0.371747	0.516194	-0.584259	-1.08461	-0.429315	0.626834	-2.83185	0.909702	-1.59516	-0.468432	0.576735	0.0545127	-0.593442	-1.50418	-0.350085	-2.83087	-1.32186	0.194865	-0.937828	-0.0860791	0.204379	0.752705	-0.166302	-0.920955	0.172036	2.29828	-2.64476	-0.653825	2.06395	1.67357	1.20909	-0.571752	-4.44329	0.19332	0.124247	0.986865	0.694588	-0.701113	-1.48934	-0.330753	1.52361	-1.00164	0.546829	-0.754422	-1.34412	0.83832	-2.33701	1.11351	-1.30047	-1.022933e+002	-9.837615e+002	-1.086055e+003
150	-0.543595	0.840707	-0.953912	-3.75002	-0.614508	-0.995761	-0.691343	0.491672	0.777064	0.366476	0.430577	0.423405	1.29958	1.27135	1.27736	1.14624	1.29892	1.15551	-0.760644	0.886113	-0.915556	0.0534029	1.30968	1.19251	-2.95981	1.0802	0.654462	-0.167527	2.27213	0.0545127	-0.663605	0.995693	1.61328	-2.11268	-1.37736	0.152105	-0.461562	-0.0860791	0.108583	0.666045	-0.0309908	1.57391	-1.07109	0.987362	-2.35721	-1.03142	1.69155	1.08829	1.48259	-0.748392	-4.48723	1.97155	-0.239115	1.54179	0.767744	-0.523215	-0.583754	-0.715592	1.67013	-0.750174	0.603865	-0.75461	-0.23065	1.11217	-2.62842	0.901323	0.322341	-1.102379e+002	-9.956042e+002	-1.105842e+003
160	-1.23052	1.40375	-0.862554	-3.75002	-1.44812	-0.963307	-1.28298	0.000344447	0.900969	0.415939	0.430577	0.0457461	1.29958	1.29227	1.29953	1.13468	1.29892	-0.368626	0.0388337	0.901013	-0.0543091	0.0534029	0.198434	-0.0479898	-2.59416	1.23211	-0.893602	-0.167527	-0.49619	0.266741	-0.979205	1.30988	-0.422248	-2.90837	-1.45972	-0.128551	-0.305709	1.21246	0.00814509	0.737153	-0.0836028	1.39085	-1.30105	0.987362	-2.38798	-0.874651	-0.827211	1.44185	1.26045	-0.451214	-4.55226	1.23946	0.974452	0.367947	0.617386	-0.754538	0.337037	-0.438396	1.27065	-0.788053	0.711093	0.0199948	-0.587753	-0.602985	-2.55738	0.370242	-0.514251	-9.917211e+001	-9.800580e+002	-1.079230e+003
170	-0.715778	1.60607	-0.874039	-3.6899	-1.78791	-0.9921	-1.77384	0.00554787	0.904328	0.44933	0.452588	0.0989889	1.29949	1.20402	1.29541	1.22058	1.29963	2.80439	0.39862	0.515411	-0.485377	0.0534029	3.4696	-0.3996	-3.17832	0.887449	-0.893602	-0.254877	-0.49619	0.416544	-0.554383	-0.162708	0.497844	-3.26581	-1.0641	0.224623	1.00579	1.31693	-0.37209	0.46544	-0.11152	0.577348	-0.457388	2.55155	-2.19555	-0.491224	-0.827211	0.937327	1.56101	-0.274173	-4.3266	-2.10075	1.17521	0.474543	0.792064	-0.613484	0.493765	1.89079	1.28337	-0.670924	0.784301	-0.197748	-0.92739	0.638533	-2.72421	0.452963	-1.15981	-1.159869e+002	-9.745995e+002	-1.090586e+003
180	-2.04335	1.67997	-0.925647	-3.66577	-2.75662	-0.997199	-1.6955	0.00554787	1.05517	0.44933	0.480376	0.216036	1.29974	1.29934	1.29995	1.28385	1.2999	1.28449	0.539961	0.528608	-0.0459129	0.754087	-1.15418	0.368591	-2.16376	0.920556	-0.893602	-0.157835	-0.7134	0.316176	-0.458285	1.85864	0.457971	-2.5293	-1.11411	0.435905	0.206892	0.00512926	0.0577382	0.60475	0.108649	-0.723531	0.546423	0.683047	-2.38334	-0.441463	-0.0501222	1.47564	0.738588	-0.608014	-3.96885	0.837996	-1.32103	0.448637	0.545336	-0.761157	0.423575	0.434268	0.173838	-0.746131	0.791009	-0.113936	1.35355	0.134873	-2.60464	0.82926	0.479321	-9.790270e+001	-9.762968e+002	-1.074200e+003
190	-1.6823	1.31011	-0.946604	-3.6896	-1.36548	-1.0503	-2.10912	0.143597	0.978828	0.502407	0.461533	0.00120869	1.29977	1.26953	1.29606	1.28601	1.2999	-0.314337	-0.442301	0.66527	-0.679658	-0.796402	-0.0675726	1.23786	-2.78478	1.06214	1.30184	-2.50866	-0.413327	0.436182	-0.371451	0.670232	1.10086	-2.5293	-0.875463	0.310864	-0.984661	-0.443266	1.3189	0.666703	0.108649	0.435847	-2.2414	0.296359	-1.62042	-0.441463	1.21682	-1.68598	0.118979	-0.306241	-3.63412	0.605887	-1.20051	0.448637	0.720417	-0.26864	0.063131	0.691124	0.173838	-0.762846	0.62685	0.249271	0.934169	0.492117	-2.37947	0.824519	-2.30454	-1.031603e+002	-9.759788e+002	-1.079139e+003
